columna,mape,accuracy
SP40,31.079784314001284,68.92021568599871
SP60-S,14.772240481504948,85.22775951849505
MP60-S,12.332181355670265,87.66781864432973
IP41 LLAVE LAGRIMA,13.903356917930424,86.09664308206958
DP30 PIN,1.4205901679648743,98.57940983203513
ZP48,1.77215260686085,98.22784739313914
ZIPP44,11.248401486852053,88.75159851314794
SP60,27.129844085894426,72.87015591410557
DP60 PIN,2.833571548560374,97.16642845143963
DQ60-S,18.520270664694895,81.47972933530511
ZIPP30,15.433040060943359,84.56695993905664
ZAPT44,19.102713558529487,80.89728644147051
YPH48,12.732072910707062,87.26792708929294
MP60,8.180246678367036,91.81975332163297
DQ60,26.178283569574184,73.82171643042581
ZAT48,9.268258981057667,90.73174101894233
SP40 TU,35.762461491919936,64.23753850808008
DP60-S,27.345814683888975,72.65418531611103
